"","n","beta","beta0","std","rho","lm_r2_m","pw_r2_m","lm_r2_std","pw_r2_std","lm_beta1_m","pw_beta1_m","lm_beta1_std","pw_beta1_std","lm_beta0_m","pw_beta0_m","lm_beta0_std","pw_beta0_std","lm_mse_m","pw_mse_m","lm_mse_std","pw_mse_std"
"65",1000,0.1,1,1,"c(0.5, 0.4)",0.0237,0.1064,0.0103,0.0103,0.102,0.0997,0.0236,0.0115,0.9635,0.9747,0.3311,0.3164,3.7927,1.1843,0.5563,0.0615
"66",50,0.5,1,1,"c(0.5, 0.4)",0.4871,0.7373,0.1342,0.1342,0.4992,0.5006,0.0775,0.0468,1.1143,1.0923,1.2633,1.259,2.3689,1.0508,1.2586,0.2439
"67",100,0.5,1,1,"c(0.5, 0.4)",0.4386,0.7404,0.1093,0.1093,0.4968,0.4988,0.0572,0.0338,1.0161,1.0056,0.9567,0.9448,2.7943,1.0958,1.1393,0.1883
"68",200,0.5,1,1,"c(0.5, 0.4)",0.3906,0.7442,0.0925,0.0925,0.4985,0.5025,0.0469,0.0216,0.9646,0.9421,0.7297,0.6956,3.4539,1.1646,1.2754,0.1347
"69",600,0.5,1,1,"c(0.5, 0.4)",0.3628,0.7455,0.052,0.052,0.4995,0.5002,0.027,0.0128,1.0126,1.0075,0.4128,0.3971,3.7272,1.1794,0.7628,0.0803
"70",1000,0.5,1,1,"c(0.5, 0.4)",0.3568,0.7468,0.0424,0.0424,0.4994,0.5002,0.0223,0.01,0.9937,0.9906,0.3486,0.3285,3.7938,1.1849,0.577,0.0627
"71",50,1,1,1,"c(0.5, 0.4)",0.7829,0.917,0.0922,0.0922,0.9954,1.004,0.076,0.0478,1.0641,1.0392,1.1753,1.1746,2.3246,1.0393,1.264,0.2603
"72",100,1,1,1,"c(0.5, 0.4)",0.7399,0.9179,0.0816,0.0816,1.0041,1.0018,0.0639,0.036,0.9939,1.0061,0.8862,0.8572,2.9659,1.1225,1.2273,0.1884
"73",200,1,1,1,"c(0.5, 0.4)",0.7089,0.92,0.069,0.069,0.9989,0.999,0.0467,0.0224,0.9685,0.9753,0.7588,0.7235,3.4744,1.1691,1.1206,0.1416
"74",600,1,1,1,"c(0.5, 0.4)",0.6914,0.9209,0.0445,0.0445,0.9988,1.001,0.0276,0.0138,1.0338,1.0279,0.4314,0.4152,3.7366,1.1903,0.7656,0.0831
"75",1000,1,1,1,"c(0.5, 0.4)",0.6892,0.9218,0.0348,0.0348,1.0001,1.0012,0.0202,0.0102,1.0108,1.0038,0.325,0.3162,3.7723,1.1842,0.579,0.0633
"76",50,0.1,4,1,"c(0.5, 0.4)",0.0574,0.1156,0.0594,0.0594,0.1005,0.0978,0.0852,0.0504,3.9257,3.9407,1.1899,1.1825,2.4946,1.063,1.3626,0.2633
"77",100,0.1,4,1,"c(0.5, 0.4)",0.0392,0.1159,0.0357,0.0357,0.0987,0.1008,0.0592,0.0331,3.9588,3.942,0.9318,0.9402,2.9727,1.1049,1.4073,0.1748
"78",200,0.1,4,1,"c(0.5, 0.4)",0.0293,0.1083,0.0236,0.0236,0.0956,0.0989,0.0449,0.0231,4.068,4.05,0.7247,0.7041,3.3428,1.1331,1.0985,0.1304
"79",600,0.1,4,1,"c(0.5, 0.4)",0.025,0.1069,0.0131,0.0131,0.1016,0.0997,0.0272,0.0138,3.995,4.0018,0.3992,0.3819,3.6851,1.1728,0.7355,0.0792
"80",1000,0.1,4,1,"c(0.5, 0.4)",0.0239,0.1085,0.01,0.01,0.1022,0.1011,0.0218,0.0106,3.9618,3.9659,0.3292,0.332,3.7829,1.1822,0.6088,0.0656
"81",50,0.5,4,1,"c(0.5, 0.4)",0.4906,0.7423,0.1372,0.1372,0.4998,0.5041,0.08,0.047,4.0464,4.033,1.3172,1.3294,2.3575,1.0475,1.267,0.2765
"82",100,0.5,4,1,"c(0.5, 0.4)",0.4288,0.7377,0.1203,0.1203,0.497,0.5003,0.0634,0.0355,4.0691,4.0539,0.9847,0.9598,2.969,1.1017,1.4908,0.1872
"83",200,0.5,4,1,"c(0.5, 0.4)",0.3939,0.7438,0.0882,0.0882,0.4999,0.5014,0.0485,0.0236,3.9616,3.9437,0.7681,0.7562,3.3696,1.1534,1.1267,0.1314
"84",600,0.5,4,1,"c(0.5, 0.4)",0.3659,0.745,0.0529,0.0529,0.4994,0.4983,0.029,0.0132,3.9975,4.0043,0.4615,0.4334,3.6916,1.1793,0.7328,0.0762
"85",1000,0.5,4,1,"c(0.5, 0.4)",0.3562,0.7484,0.0419,0.0419,0.5012,0.5003,0.0228,0.0106,3.9794,3.9841,0.343,0.3219,3.8276,1.1813,0.577,0.0604
"86",50,1,4,1,"c(0.5, 0.4)",0.7816,0.9171,0.0915,0.0915,1.0033,1.0039,0.0766,0.0467,3.9512,3.9394,1.3482,1.3326,2.3432,1.0439,1.2616,0.2634
"87",100,1,4,1,"c(0.5, 0.4)",0.7456,0.9195,0.0809,0.0809,1.0011,1.0026,0.0606,0.0318,4.0561,4.0531,0.9211,0.9019,2.9451,1.1213,1.2812,0.1802
"88",200,1,4,1,"c(0.5, 0.4)",0.7092,0.9213,0.0659,0.0659,1.0005,1.0005,0.0449,0.0236,4.0363,4.0284,0.7687,0.7542,3.4971,1.1461,1.1726,0.1346
"89",600,1,4,1,"c(0.5, 0.4)",0.6911,0.9217,0.0423,0.0423,1.0004,1.0002,0.027,0.0142,3.9933,3.9937,0.4248,0.3998,3.7509,1.1795,0.7122,0.0818
"90",1000,1,4,1,"c(0.5, 0.4)",0.6853,0.9212,0.0349,0.0349,1.0004,1.0002,0.0212,0.0112,4.0062,4.0052,0.3467,0.3315,3.8439,1.1905,0.6125,0.0623
